00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 2 à 2
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=956 R=1 S=06/10/24 E=06/10/24 +329 =298 -329
012 Belgian Interclubs 2024 - 2025 - Round 2
022 Various locations in Belgian Clubs
032 BEL
042 2024-10-06
052 2024-10-06
062 956
102 Cornet, Luc
001   50      Bauer, Christian                  2557           78794             0.5         49 b = 
001   51      Pijpers, Arthur                   2471           15625             1.0         52 w 1 
001   52      Eugène, Floryan                   2446           24939             0.0         51 b 0 
001   53      García Cuenca, Víctor             2274           22636             0.0         54 w 0 
001   54      Victor, Julian                    2267           16868             1.0         53 b 1 
001   55      Van Der Stricht, Geert            2307           44504             0.0         56 w 0 
001   56      Hauchamps, Maxime                 2226           20540             1.0         55 b 1 
001   57      Laurent, Julien                   2277           50233             1.0         58 w 1 
001   58      Van Volsem, Merlijn               2287           17843             0.0         57 b 0 
001   59      Ruzhansky, Elias                  2222           21132             1.0         60 w 1 
001   60      Cools, Gorik                      2240           80403             0.0         59 b 0 
001   61      Carmeille, Ludovic                2247           13477             1.0         62 w 1 
001   62      Draftian, Ashote                  2270           20354             0.0         61 b 0 
001   63      Vanheirzeele, Daniel              2037           35572             0.0         64 w 0 
001   64      Raptis, Filippos                  2134           20846             1.0         63 b 1 
001   65      Baselmans, Luuk                   2335           17529             0.0         66 w 0 
001   66      Zwirs, Nico                       2474           19800             1.0         65 b 1 
001   67      Beukema, Stefan                   2446           49921             1.0         68 w 1 
001   68      Colijn, Stefan                    2292           11532             0.0         67 b 0 
001   69      De Strycker, Nathan               2272           56863             0.0         70 w 0 
001   70      Maerevoet, Sim                    2404           10832             1.0         69 b 1 
001   71      Van Haastert, Edwin               2415           10464             0.5         72 w = 
001   72      Baselmans, Sam                    2256           17532             0.5         71 b = 
001   73      Bomans, Arno                      2232           50482             0.5         74 w = 
001   74      De Waele, Warre                   2324           13376             0.5         73 b = 
001   75      Beukema, Jasper                   2348           50086             1.0         76 w 1 
001   76      Rooze, Jan                        2225           28045             0.0         75 b 0 
001   77      Boeykens, Marc                    2132           67946             0.0         78 w 0 
001   78      Van Delft, Merijn                 2360            4847             1.0         77 b 1 
001   79      Van Dael, Siem                    2279           21345             1.0         80 w 1 
001   80      Helsloot, Wilbert                 1840           17659             0.0         79 b 0 
001   81      Feygin, Michael                   2454           95281             0.5         82 w = 
001   82      Smeets, Kobe                      2328           29367             0.5         81 b = 
001   83      Wemmers, Xander                   2340           18066             0.5         84 w = 
001   84      Galyas, Miklos                    2394           23240             0.5         83 b = 
001   85      Fiebig, Thomas                    2408           94269             1.0         86 w 1 
001   86      Smits, Mark                       2251           13528             0.0         85 b 0 
001   87      Floor, Dirk                       2230           24758             0.0         88 w 0 
001   88      Berczes, David                    2400           24981             1.0         87 b 1 
001   89      Harff, Marcel                     2320           14131             1.0         90 w 1 
001   90      Terryn, Ezra                      2194           52027             0.0         89 b 0 
001   91      Veltkamp, Gerben                  2081           11501             0.0         92 w 0 
001   92      Meessen, Rudolf                   2204             345             1.0         91 b 1 
001   93      Coenen, Norbert                   2272           98370             0.5         94 w = 
001   94      Titus, Branco                     2013           26499             0.5         93 b = 
001   95      Haberkorn, Danny                  2006           22586             0.0         96 w 0 
001   96      Mohammadi Nia, Borna              2165           21226             1.0         95 b 1 
001   97      Ngo, Quang Thai                   2195           26943             0.5         98 w = 
001   98      Barseghyan, Harutyun              2438           27001             0.5         97 b = 
001   99      Degardin, Sylvain                 2279           27381             0.5        100 w = 
001  100      Mainka, Alwin                     2167           21275             0.5         99 b = 
001  101      Lamby, Philipp                    2219           98817             0.5        102 w = 
001  102      Godry, Clément                    2113           12802             0.5        101 b = 
001  103      Houdart, David                    2189           66770             1.0        104 w 1 
001  104      Huesmann, Thomas                  2170           95206             0.0        103 b 0 
001  105      Sabirov, Rafael                   2135           29487             0.0        106 w 0 
001  106      Markuszewski, Maksymilian         2079           27274             1.0        105 b 1 
001  107      Maalla, Abdessadek                2092           14400             1.0        108 w 1 
001  108      Roessler, Eckhard                 2181           25909             0.0        107 b 0 
001  109      Roessler, Nicolas                 2047           10653             1.0        110 w 1 
001  110      Wang, Eliot                       1979           29161             0.0        109 b 0 
001  111      De Noose, Daniel                  1880           90883             0.0        112 w 0 
001  112      Ahn, Anastasia                    1791           15454             1.0        111 b 1 
001  113      Verstraeten, Rein                 2356           57533             1.0        114 w 1 
001  114      Duhayon, Yves                     2159           31267             0.0        113 b 0 
001  115      Luminet, Denis                    2119            9245             0.5        116 w = 
001  116      Pirard, Natan                     2293           10942             0.5        115 b = 
001  117      Ponnet, Hendrik                   2294           17116             1.0        118 w 1 
001  118      Kerkhof, Philippe                 2183           35271             0.0        117 b 0 
001  119      Sarkisian, Arman                  2084           20183             0.5        120 w = 
001  120      Butzen, Robin                     2108           13707             0.5        119 b = 
001  121      Verboven, Wout                    2043           15850             0.5        122 w = 
001  122      Van Hoolandt, Patrick             2039           40878             0.5        121 b = 
001  123      Laurent, Michel                   2009           45110             0.0        124 w 0 
001  124      Van Den Bosch, Arno               2043           10546             1.0        123 b 1 
001  125      Aglave, Arnaud                    2007           30775             1.0        126 w 1 
001  126      Cornil, Etienne                   1963           35556             0.0        125 b 0 
001  127      Vanhamme, Patrick                 1860           93891             0.5        128 w = 
001  128      De Witte, Stein                   1940           13279             0.5        127 b = 
001  129      Dreelinck, Jacob                  2226           14086             0.0        130 w 0 
001  130      Faybish, Nimrod                   2172           79197             1.0        129 b 1 
001  131      Arnold, Rhys                      2312           29210             1.0        132 w 1 
001  132      Dreelinck, Adriaan                2197           14078             0.0        131 b 0 
001  133      Roos, David                       2150           11789             0.5        134 w = 
001  134      Jakhari, Ansh                     2117           24737             0.5        133 b = 
001  135      De Wit, Michel                    2108            1686             0.0        136 w 0 
001  136      Ghyselen, Wouter                  2105            4936             1.0        135 b 1 
001  137      Smekens, Ruben                    2073           15032             0.5        138 w = 
001  138      Spaan, Nathanael                  2065           12278             0.5        137 b = 
001  139      Tonoli, Walter                    2152             841             1.0        140 w 1 
001  140      De Weird, Matthias                2012           25933             0.0        139 b 0 
001  141      Van Poucke, Simon                 1895            6467             0.0        142 w 0 
001  142      Perrin, Antoine                   2020           25061             1.0        141 b 1 
001  143      Marechal, Andy                    2312           50211             0.0        144 w 0 
001  144      Zouaghi, Amir                     2170           14606             1.0        143 b 1 
001  145      De Reese, Elias                   2092           15179             1.0        146 w 1 
001  146      Jens, Jelmer                      2352           11517             0.0        145 b 0 
001  147      Erwich, Marc                      2327           60302             0.5        148 w = 
001  148      Gregoir, Christophe               2236           34380             0.5        147 b = 
001  149      Vanduyfhuys, Daria                2119           14495             1.0        150 w 1 
001  150      Bolzoni, Victor-Angel             2171           66150             0.0        149 b 0 
001  151      Denayer, Eric                     2124           76929             1.0        152 w 1 
001  152      Zouaghi, Nouri                    2163            9156             0.0        151 b 0 
001  153      Vanduyfhuys, Igor                 2036           14603             1.0        154 w 1 
001  154      Uhoda, Philippe                   2053           63011             0.0        153 b 0 
001  155      Werner, Ivan                      2029           50474             0.0        156 w 0 
001  156      De Geest, Hannes                  1999           16865             1.0        155 b 1 
001  157      Regniers, Yves                    1993           31755             0.5        158 w = 
001  158      Vernimmen, Pierre                 2037           16068             0.5        157 b = 
001  159      Herman, Jean                      2249           73296             0.5        160 w = 
001  160      Tomov, Georgi                     2254           12054             0.5        159 b = 
001  161      Hoffmeister, Frank                2137           81558             0.5        162 w = 
001  162      Wantiez, Fabrice                  2235           70823             0.5        161 b = 
001  163      Mastalerz, Xavier                 2225           80209             0.0        164 w 0 
001  164      Wiley, Tom                        2087           95672             1.0        163 b 1 
001  165      Mueller, Martin                   2145           50293             0.0        166 w 0 
001  166      Tillet, Louis-Juan                2134           50244             1.0        165 b 1 
001  167      Russo, Julien                     2066           90115             0.0        168 w 0 
001  168      Ouaki, Mark                       2036           18047             1.0        167 b 1 
001  169      Pozimski, Szymon                  1996           18072             0.5        170 w = 
001  170      Molitor, Milo                     1904           23285             0.5        169 b = 
001  171      Bertram, Johannes                 1969           60503             0.5        172 w = 
001  172      Wattin, Joffrey                   1913           61301             0.5        171 b = 
001  173      Saiboulatov, Daniyal              2352           67008             0.5        174 w = 
001  174      Pile, Richard                     2445           66125             0.5        173 b = 
001  175      Anciaux, Adrien                   2146           17648             0.5        176 w = 
001  176      Eliet, Nicolas                    2317           70564             0.5        175 b = 
001  177      De Heug, Andrea                   2156           22966             1.0        178 w 1 
001  178      Dallemagne, Maximilien            2115           12756             0.0        177 b 0 
001  179      Iolis, Oleg                       2107           87921             1.0        180 w 1 
001  180      Sclacmender, Julien               2204           74853             0.0        179 b 0 
001  181      Soubirou, Oriane                  2081           15150             1.0        182 w 1 
001  182      Andri, Amaury                     1944           18802             0.0        181 b 0 
001  183      Depauw, Christian                 2003           79294             0.0        184 w 0 
001  184      Jamar, Vadim                      2043           87408             1.0        183 b 1 
001  185      Vermoesen, Jordan                 2088           25749             1.0        186 w 1 
001  186      Thibaut, Stéphane                 1991           60442             0.0        185 b 0 
001  187      De Briey, Aurian                  1828           17207             1.0        188 w 1 
001  188      Piacentini, Claudio               2042           54810             0.0        187 b 0 
001  189      Hamblok, Roel                     2234           22543             0.5        190 w = 
001  190      Raats, Joppe                      2219           12445             0.5        189 b = 
001  191      Allaert, Dimitri                  2208           16951             1.0        192 w 1 
001  192      Rogge, Parcival                   2213           14279             0.0        191 b 0 
001  193      Van Malder, Dries                 2191           10934             1.0        194 w 1 
001  194      Van Dijck, Bjarne                 2135           10399             0.0        193 b 0 
001  195      Decoster, Sam                     2119           29424             0.0        196 w 0 
001  196      Boudry, William                   2095           10816             1.0        195 b 1 
001  197      De Rycke, Tyani                   2099           14625             0.5        198 w = 
001  198      Gooris, Jan                       2090           36323             0.5        197 b = 
001  199      Cuyvers, Jens                     1974           20065             0.5        200 w = 
001  200      Verhelst, Joris                   2077           33570             0.5        199 b = 
001  201      De Bock, Lennart                  2048           38253             1.0        202 w 1 
001  202      Vranckx, Jonas                    1940           16085             0.0        201 b 0 
001  203      De Winter, Kevin                  1774           42871             0.5        204 w = 
001  204      Decruyenaere, Robbert             2007           10967             0.5        203 b = 
001  205      Nemegeer, Arne                    2191           14068             0.5        206 w = 
001  206      Hovenga, Alje                     2147           15081             0.5        205 b = 
001  207      Deberdt, Joris                    2105           14103             1.0        208 w 1 
001  208      Vantorre, Nils                    2118           16911             0.0        207 b 0 
001  209      Vandendriessche, Jan              2062           20141             0.0        210 w 0 
001  210      De Block, Yordi                   2055           11030             1.0        209 b 1 
001  211      Osterwald, Elwin                  2041           16639             0.5        212 w = 
001  212      Larsen, Harald                    1987           36277             0.5        211 b = 
001  213      Piceu, Jarid                      1977           12523             0.0        214 w 0 
001  214      Hoffman, Ron                      2024           43664             1.0        213 b 1 
001  215      Ghysels, Chris                    2045           26638             0.5        216 w = 
001  216      Dutré, Wonder                     1924           18195             0.5        215 b = 
001  217      Barzeele, Raf                     1925           85081             0.5        218 w = 
001  218      Willemsma, Abe                    2013           19870             0.5        217 b = 
001  219      Galle, Andre                      1984           38342             0.5        220 w = 
001  220      Bernaert, Michael                 1928           36811             0.5        219 b = 
001  221      Peek, Maurice                     2369           63819             1.0        222 w 1 
001  222      Peeren, Yen                       2114           22764             0.0        221 b 0 
001  223      Vanden Bussche, Steven            2042           11317             1.0        224 w 1 
001  224      Gijsen, Stief                     2236            1031             0.0        223 b 0 
001  225      Maes, Thomas                      2234            2623             1.0        226 w 1 
001  226      Cocquyt, Tijs                     2064           30805             0.0        225 b 0 
001  227      Faure, Stéphane                   1993           52795             0.5        228 w = 
001  228      Swijsen, Lars                     2157            5606             0.5        227 b = 
001  229      Govoreanu, Matei                  2068           16824             0.5        230 w = 
001  230      Benredouane, Ilies                1905           21329             0.5        229 b = 
001  231      Pincket, Michael                  1940           12831             0.0        232 w 0 
001  232      Peeters, Tim                      2010           28231             1.0        231 b 1 
001  233      Surkol, Hector                    1830           19469             0.5        234 w = 
001  234      Marchand, Werner                  1967           87513             0.5        233 b = 
001  235      Pincket, Thomas                   1905            8001             1.0        236 w 1 
001  236      Geenen, Kobe                      1688           22388             0.0        235 b 0 
001  237      Hugaert, Arthur                   2167           17183             0.0        238 w 0 
001  238      Decoster, Frederic                2274           25615             1.0        237 b 1 
001  239      Van Cappellen, Jonas              2229            1988             0.0        240 w 0 
001  240      Follesa, Enrico                   2191           14386             1.0        239 b 1 
001  241      Goormachtigh, Johan               2172            1864             0.5        242 w = 
001  242      Goossens, Hanne                   2151           50075             0.5        241 b = 
001  243      Schrevens, Birger                 2184           10421             1.0        244 w 1 
001  244      Liessens, Tom                     2008           19720             0.0        243 b 0 
001  245      Van Hecke, Bert                   1914           24999             1.0        246 w 1 
001  246      Van De Perre, Tom                 2078            1929             0.0        245 b 0 
001  247      Rogiers, Jan                      2122           48569             0.5        248 w = 
001  248      Vincent, Gwijde                   1923            5827             0.5        247 b = 
001  249      Verhaeren, Gertjan                2099            6815             0.0        250 w 0 
001  250      Versyck, Dominique                2084           26972             1.0        249 b 1 
001  251      De Block, Fabio                   2048           11034             1.0        252 w 1 
001  252      Windels, Jan                      1982           36897             0.0        251 b 0 
001  253      Thienpondt, Mardoek               2028           10184             0.0        254 w 0 
001  254      Vandenhole, Kobe                  2149           20531             1.0        253 b 1 
001  255      Tiggelman, Rene                   2198           50881             0.5        256 w = 
001  256      Plomp, Micha                      2204           16179             0.5        255 b = 
001  257      Achtergaele, Koen                 2021           30732             0.0        258 w 0 
001  258      Van Houtte, Randy                 2119           10283             1.0        257 b 1 
001  259      Van De Velde, Koen                2073            9253             0.5        260 w = 
001  260      Willen, Benny                     2051           40568             0.5        259 b = 
001  261      Verhalle, Elias                   1989           11400             0.0        262 w 0 
001  262      Dhooge, Servaas                   2004           22643             1.0        261 b 1 
001  263      Maes, Tibo                        2024           42391             1.0        264 w 1 
001  264      Hertele, Stijn                    2024           52361             0.0        263 b 0 
001  265      Plomp, Mateo                      1939           17780             1.0        266 w 1 
001  266      Lachaert, Tibo                    1920           11132             0.0        265 b 0 
001  267      De Putter, Sven                   1825           15132             0.5        268 w = 
001  268      Six, Stefaan                      1866           34843             0.5        267 b = 
001  269      Froeyman, Helmut                  2270           13668             0.5        270 w = 
001  270      Nieto, Emanuel                    2292           35467             0.5        269 b = 
001  271      Dijkstra, Bart                    2093           52507             0.0        272 w 0 
001  272      Sadkowski, Daniel                 2223           69329             1.0        271 b 1 
001  273      Prudlo, Simon                     2112           21174             1.0        274 w 1 
001  274      Fierens, Steve                    2029           49387             0.0        273 b 0 
001  275      Engelen, Joseph                   2022            3131             0.5        276 w = 
001  276      Van Mechelen, Jan                 2102           14354             0.5        275 b = 
001  277      Eerens, Pim                       2072           23532             1.0        278 w 1 
001  278      Lavrenov, Yuli                    2021           37796             0.0        277 b 0 
001  279      Logie, Dimitri                    1988           20818             0.5        280 w = 
001  280      Weiler, Marc                      2052           22403             0.5        279 b = 
001  281      Tolk, Pieter                      2075           53589             1.0        282 w 1 
001  282      Van Der Kelen, Thomas             1817           15431             0.0        281 b 0 
001  283      Roels, Arne                       1817           53252             0.0        284 w 0 
001  284      Du Pont, David                    2025           32204             1.0        283 b 1 
001  285      T'Sas, Jan                        2006           26603             0.0        286 w 0 
001  286      Hematyar, Fardin                  1881           13903             1.0        285 b 1 
001  287      Verschraegen, Thomas              1916           34517             1.0        288 w 1 
001  288      Hautekiet, Dries                  2059           39462             0.0        287 b 0 
001  289      Verhulst, Nikolaas                2027           57169             1.0        290 w 1 
001  290      De Pooter, Ronald                 1910           13463             0.0        289 b 0 
001  291      Sinke, Wim                        1872            5321             0.5        292 w = 
001  292      Van Tichelen, Bart                1977           49051             0.5        291 b = 
001  293      De Kaey, Pascal                   1953           54771             1.0        294 w 1 
001  294      Karlioglu, Boran                  1817           16971             0.0        293 b 0 
001  295      Tant, Sander                      1598           25347             0.0        296 w 0 
001  296      De Clerck, Lucas                  1841           23772             1.0        295 b 1 
001  297      Philipsen, Mathias                2251           51837             0.0        298 w 0 
001  298      Kalle, Erwin                      2036           12885             1.0        297 b 1 
001  299      De Smedt, Mark                    1962           28240             0.0        300 w 0 
001  300      Luyckx, Wim                       2072           58572             1.0        299 b 1 
001  301      Marx, Nicolas                     1961           13330             1.0        302 w 1 
001  302      Van Der Graaf - Osinga, Angelique 1973           12370             0.0        301 b 0 
001  303      De Hert, Oliver                   1955           51195             0.5        304 w = 
001  304      Maes, Chris                       1913           18503             0.5        303 b = 
001  305      Nuyens, John                      1931           21415             0.5        306 w = 
001  306      Van Nieuwenhuizen, Hans           1901           12959             0.5        305 b = 
001  307      Van Der Graaf, André              1939           14341             1.0        308 w 1 
001  308      Van De Sande, Jorn                1787           10416             0.0        307 b 0 
001  309      Kegels, Pascal                    2079           45284             0.5        310 w = 
001  310      Ahmetaj, Rasim                    2001           75558             0.5        309 b = 
001  311      Guisset, Philippe                 1961           97250             1.0        312 w 1 
001  312      Caluwe, Marc                      2035           79324             0.0        311 b 0 
001  313      De Jonghe, Peter                  1987            7404             0.0        314 w 0 
001  314      Macai, Ioan                       1827           92312             1.0        313 b 1 
001  315      Lombart, Philippe                 1843           41831             0.0        316 w 0 
001  316      Blommaert, Robin                  1828           48984             1.0        315 b 1 
001  317      Blommaert, Marc                   1785            9229             0.5        318 w = 
001  318      Herman, Luc                       1836            8575             0.5        317 b = 
001  319      Lambert, Michel                   1806           80918             0.0        320 w 0 
001  320      Van Laere, Mauro                  1773           21520             1.0        319 b 1 
001  321      Schalkx, Johnny                   2127           39063             0.5        322 w = 
001  322      Stuer, Marc                       2046           41084             0.5        321 b = 
001  323      Boons, Patrick                    2006           28533             1.0        324 w 1 
001  324      Krygelmans, Johan                 2057           20745             0.0        323 b 0 
001  325      Mauquoy, Alain                    1942           35491             1.0        326 w 1 
001  326      Verschoren, Bram                  1969           11894             0.0        325 b 0 
001  327      Paesschesoone, Stefan             1935           47414             1.0        328 w 1 
001  328      Secelle, Hans                     2015           51161             0.0        327 b 0 
001  329      Roels, Frederik                   1916           22659             0.0        330 w 0 
001  330      Verbruggen, Peter                 1818           10207             1.0        329 b 1 
001  331      Witters, Michael                  1724           15003             0.5        332 w = 
001  332      Van Hoecke, Luc                   1977           35564             0.5        331 b = 
001  333      Bleys, Michiel                    2103           13263             1.0        334 w 1 
001  334      Lanckriet, Chris                  1952            8320             0.0        333 b 0 
001  335      Vintioen, Ben                     1952           38822             0.5        336 w = 
001  336      Thiteca, Thierry                  2052           25186             0.5        335 b = 
001  337      Robert, Pierre                    2022           92479             1.0        338 w 1 
001  338      Carlier, Sven                     1916           41254             0.0        337 b 0 
001  339      Delens, Yoren                     1852           23054             0.0        340 w 0 
001  340      Watelet, Sylvain                  1985           69892             1.0        339 b 1 
001  341      Jacobs, Antoine                   1926           50571             1.0        342 w 1 
001  342      Matthys, Johan                    1723           49743             0.0        341 b 0 
001  343      Ip, Tobias                        1643           21109             0.5        344 w = 
001  344      Devenney, Martin                  1923           25362             0.5        343 b = 
001  345      Roelandt, Andreas                 2063           11023             0.5        346 w = 
001  346      Aerts, Eric                       1982           80608             0.5        345 b = 
001  347      Segarra Gonçalves, Jorge          1971            9971             0.5        348 w = 
001  348      Willockx, Ritsaart                1961           32913             0.5        347 b = 
001  349      Vanhee, Freddy                    1904            9725             0.5        350 w = 
001  350      Mollekens, Roeland                1949            4693             0.5        349 b = 
001  351      Provinciael, Ernest               1933             884             1.0        352 w 1 
001  352      Dobbelaere, Dieter                1912           14213             0.0        351 b 0 
001  353      De Smet, Frans                    1812           34011             1.0        354 w 1 
001  354      Lascar, Radoslawa                 1874           24901             0.0        353 b 0 
001  355      Dreezen, Thomas                   1809           23918             1.0        356 w 1 
001  356      Koops, Niels                      1764           12212             0.0        355 b 0 
001  357      Cappan, Pjotr                     1980           14898             0.0        358 w 0 
001  358      Grochal, Joey                     2272           50251             1.0        357 b 1 
001  359      Lahousse, Wouter                  1921           13870             1.0        360 w 1 
001  360      Naessens, Wolf                    1967           14293             0.0        359 b 0 
001  361      Musabayeva, Diana                 1938           16881             0.5        362 w = 
001  362      Audenaert, Bart                   1992           56596             0.5        361 b = 
001  363      Landman, Renzo                    1986           29278             0.0        364 w 0 
001  364      Van Malder, Klaus                 1921           10937             1.0        363 b 1 
001  365      De Keukelaere, Wouter             1848           15779             0.5        366 w = 
001  366      Burgerhoff, Rinus                 1961           19891             0.5        365 b = 
001  367      Van Trirum, Noel                  1788           27268             0.5        368 w = 
001  368      Musabayev, Maxim                  1907           16932             0.5        367 b = 
001  369      Pu, Linden                        1945           10004             1.0        370 w 1 
001  370      De Vos, Nils                      2264           56740             0.0        369 b 0 
001  371      Ercan, Selman                     2054           27200             1.0        372 w 1 
001  372      Gellinck, Simon                   1843           16027             0.0        371 b 0 
001  373      Boydens, Wim                      1868           17809             0.0        374 w 0 
001  374      Vanparys, Philip                  2111           30651             1.0        373 b 1 
001  375      Schroer, Marcel                   2048           13488             1.0        376 w 1 
001  376      Kleppe, Emiel                     1778           27046             0.0        375 b 0 
001  377      De Ketelaere, Raphaël             1740           23915             0.0        378 w 0 
001  378      De Weerd, Jan                     2009           21814             1.0        377 b 1 
001  379      Surmont, Yves                     1958           14273             1.0        380 w 1 
001  380      Verstraete, Kobe                  1706           27689             0.0        379 b 0 
001  381      Coucke, Yari                      2094           12146             1.0        382 w 1 
001  382      De Blende, Nando                  1973           11064             0.0        381 b 0 
001  383      Buydts, Dirk                      2025           34312             1.0        384 w 1 
001  384      Passchyn, Maarten                 2011            9628             0.0        383 b 0 
001  385      Callant, Geert                    1890           38237             0.5        386 w = 
001  386      Vereeken, Franky                  1973           36579             0.5        385 b = 
001  387      Boodts, Jeroen                    1971            8834             1.0        388 w 1 
001  388      Lagast, Herve                     1947           57941             0.0        387 b 0 
001  389      De Corte, Ronny                   1802           35980             0.5        390 w = 
001  390      Veldeman, Sieben                  1901           21436             0.5        389 b = 
001  391      Londers, Jan                      1847           41904             1.0        392 w 1 
001  392      Meijns, Alexander                 1581           27160             0.0        391 b 0 
001  393      Vreugdenhil, Frans                1914           23366             0.0        394 w 0 
001  394      Alashtar, Aasef                   2027           29444             1.0        393 b 1 
001  395      Gozzoli, Cyrille                  2106           17786             1.0        396 w 1 
001  396      Oloeriu, Calin                    1868           14577             0.0        395 b 0 
001  397      Steshenko, Denis                  1865           26089             0.5        398 w = 
001  398      Hias, Ludovic                     2018           79316             0.5        397 b = 
001  399      Hannecart, Marc                   1846           81523             1.0        400 w 1 
001  400      Lebon, Olivier                    1903           11173             0.0        399 b 0 
001  401      De Vroe, Philip                   1862           80055             0.0        402 w 0 
001  402      Jonniaux, Bastien                 1884           22762             1.0        401 b 1 
001  403      Brasseur, Vincent                 1830           29348             1.0        404 w 1 
001  404      Vanhoucke, Kobe                   1824           14316             0.0        403 b 0 
001  405      Donovan, Linton                   2266           51551             0.0        406 w 0 
001  406      Bossuyt, Koen                     2113           22756             1.0        405 b 1 
001  407      Tomme, Lowie                      2118           11412             1.0        408 w 1 
001  408      Daels, Marc                       2161            4073             0.0        407 b 0 
001  409      Chaerle, Josse                    2038           50013             1.0        410 w 1 
001  410      Dewever, Niel                     1918           19023             0.0        409 b 0 
001  411      Debrouwere, Jeroen                1941           27995             1.0        412 w 1 
001  412      Carpentier, Jannes                2028           12290             0.0        411 b 0 
001  413      Da Silva Heleno, Jorit            1919           12526             1.0        414 w 1 
001  414      Bossuyt, Herman                   1788           65978             0.0        413 b 0 
001  415      Penninck, Wim                     1753            2984             0.5        416 w = 
001  416      Van Keirsbilck, Ilias             1704           21843             0.5        415 b = 
001  417      Muratet, Lucas                    2138           23129             1.0        418 w 1 
001  418      Davoust, Nicolas                  2004           27727             0.0        417 b 0 
001  419      Dupont, Arthur                    2019           24747             0.5        420 w = 
001  420      Marlier, Gaetan                   2062           84841             0.5        419 b = 
001  421      Franc, Emmanuel                   2006           93084             0.0        422 w 0 
001  422      Boudrenghien, Francois            1965           12315             1.0        421 b 1 
001  423      Stevens, Christian                1956           19840             1.0        424 w 1 
001  424      Marchal, Laurent                  1986           60517             0.0        423 b 0 
001  425      Piccavet, Elias                   1935           29409             1.0        426 w 1 
