00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 2 à 2
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=760 R=1 S=06/10/24 E=06/10/24 +300 =160 -300
012 Belgian Interclubs 2024 - 2025 - Round 2
022 Various locations in Belgian Clubs
032 BEL
042 2024-10-06
052 2024-10-06
062 760
102 Cornet, Luc
001  162      Bekaert, Dylan                    1671           22180             0.0        161 b 0 
001  163      Devolder, Robrecht                1663           65196             1.0        164 w 1 
001  164      Vandelanotte, Amedee              1400           26811             0.0        163 b 0 
001  165      Pu, Yu                               0           28052             0.0        166 w 0 
001  166      Vermeulen, Christa                1503           21284             1.0        165 b 1 
001  167      De Meerleer, Jeroen               1419           14948             1.0        168 w 1 
001  168      Jans, Rinse                          0           27675             0.0        167 b 0 
001  169      De Jong, Eliza                    1764           29182             0.5        170 w = 
001  170      Lecluyse, Thymen                  1701           23636             0.5        169 b = 
001  171      Strynckx, Thibeau                 1656           23341             0.5        172 w = 
001  172      Trizulla, Tristen                    0           20444             0.5        171 b = 
001  173      Notebaert, Jaron                     0           29169             0.0        174 w 0 
001  174      Esprit, Kobe                      1573           22862             1.0        173 b 1 
001  175      De Brouwere, Johan                1791           30988             1.0        176 w 1 
001  176      Cools, Louis                         0           29345             0.0        175 b 0 
001  177      Amoroso, Thomas                   1722           23960             0.5        178 w = 
001  178      Pegoretti, Franco                 1876           57959             0.5        177 b = 
001  179      Vansteenkiste, John               1623           70629             0.5        180 w = 
001  180      Vandevannet, Tristan              1728           24240             0.5        179 b = 
001  181      Hermet, Eric                      1776           60727             0.5        182 w = 
001  182      Carpentieri, Francesco               0           29100             0.5        181 b = 
001  183      Mdaghri, Issam                       0           28288             0.0        184 w 0 
001  184      Jacob, Raphaël                    1628           23270             1.0        183 b 1 
001  185      Solano, Luca                      1454           22444             0.0        186 w 0 
001  186      Marlier, Maxime                   1745           24051             1.0        185 b 1 
001  187      Leroy, Nicolas                       0           26067             0.0        188 w 0 
001  188      Coutton, Galian                   1408           22364             1.0        187 b 1 
001  189      Haenecour, Alain                  1401           27028             1.0        190 w 1 
001  190      Parmentier, Valentin              1527           24477             0.0        189 b 0 
001  191      Rizzotto, Anthony                    0           27703             0.0        192 w 0 
001  192      Drugmand, François                1400           25306             1.0        191 b 1 
001  193      Henrotte, Christian               1739           98146             1.0        194 w 1 
001  194      Thomas, John                      1594           19971             0.0        193 b 0 
001  195      Pignatelli, Tom-Emmanuel          1616           21154             1.0        196 w 1 
001  196      Konidakis, Nicolas                1635           22909             0.0        195 b 0 
001  197      Dufrasne, Lucas                   1644           25209             1.0        198 w 1 
001  198      Monnom, Matteo                    1530           24559             0.0        197 b 0 
001  199      Rybarski, Mathéo                     0           29517             0.0        200 w 0 
001  200      Lopez Papantonio, Pablo           1652           22776             1.0        199 b 1 
001  201      Dinev, Dimiter                    1811           84182             0.5        202 w = 
001  202      Degrave, Jonathan                 1783           16959             0.5        201 b = 
001  203      Knudde, Francis                   1785           71081             0.0        204 w 0 
001  204      Anthonissens, Thibault            1720           27048             1.0        203 b 1 
001  205      Lejeune, Samuel                   1711           69990             1.0        206 w 1 
001  206      Bourgois, Michael                 1504           12948             0.0        205 b 0 
001  207      Coussement, Serge                 1424           10962             0.5        208 w = 
001  208      Descamps, Philippe                1562           27428             0.5        207 b = 
001  209      Russo, Italo                      1612           71684             0.0        210 w 0 
001  210      De Le Court, Lucas                1935           60726             1.0        209 b 1 
001  211      Charlier, Laurent                 1820           82571             1.0        212 w 1 
001  212      Bury, Olivier                     1536           23975             0.0        211 b 0 
001  213      D'Amico, Luciano                  1583           93149             0.5        214 w = 
001  214      Lejeune, Raphaël                  1631           12104             0.5        213 b = 
001  215      Bensafi, Mathias                  1510           17730             1.0        216 w 1 
001  216      Vanhee, Dominique                 1400           26429             0.0        215 b 0 
001  217      Lauwers, Rudi                     1627           11611             0.5        218 w = 
001  218      Adriaensens, Robin                   0           13159             0.5        217 b = 
001  219      Pauwels, Wout                     1666           16062             1.0        220 w 1 
001  220      De Swert, Heidi                   1622           98797             0.0        219 b 0 
001  221      Clarys, Stefaan                   1578           10248             0.0        222 w 0 
001  222      Veelenturf, Wim                   1665           23026             1.0        221 b 1 
001  223      Oxener, Aldo                      1662           15063             1.0        224 w 1 
001  224      Van Esbroeck, Jozef               1546           10210             0.0        223 b 0 
001  225      Dias Oliveira, Milo                  0           29393             0.0        226 w 0 
001  226      Verbist, Gijs                     1668           24871             1.0        225 b 1 
001  227      De Cap, Jan                       1632            3166             1.0        228 w 1 
001  228      De Middelaer, Wout                   0           29379             0.0        227 b 0 
001  229      Van Dyck, Marc                    1991           34614             1.0        230 w 1 
001  230      Manueke, Hervano                  1635           15928             0.0        229 b 0 
001  231      Wellens, Senne                    1680           26119             0.0        232 w 0 
001  232      Van Dyck, Evi                     1853           29394             1.0        231 b 1 
001  233      De Vet, Sylvin                    1704           34533             0.5        234 w = 
001  234      Sazonov, Andrei                   1684           19354             0.5        233 b = 
001  235      Smets, Steff                      1534           27184             0.5        236 w = 
001  236      Bruynseels, Johan                 1586           24857             0.5        235 b = 
001  237      Fleischeuer, Sebastian            1607           21682             0.5        238 w = 
001  238      Schillemans, Willy                1874           58335             0.5        237 b = 
001  239      Buytaert, Michael                 1759           52299             0.0        240 w 0 
001  240      Pien, Jonas                       1607           23033             1.0        239 b 1 
001  241      Verhagen, Rinus                   1481           27513             0.0        242 w 0 
001  242      De Coninck, Rune                  1696           23512             1.0        241 b 1 
001  243      Van De Voorde, Kasper             1519           28224             0.0        244 w 0 
001  244      Ooms, Lennert                     1524           24114             1.0        243 b 1 
001  245      Van Acker, Mark                      0           29504             0.0        246 w 0 
001  246      Spinazzola, Matteo                1631           21767             1.0        245 b 1 
001  247      Cap, Kilian                          0           27860             1.0        248 w 1 
001  248      Polfliet, Seppe                   1539           26710             0.0        247 b 0 
001  249      Kirakosyan, Karen                    0           28140             1.0        250 w 1 
001  250      Potums, Loïc                      1506           21588             0.0        249 b 0 
001  251      Kirisgil, Cinar                      0           23877             0.5        252 w = 
001  252      Keustermans, Sieme                   0           25359             0.5        251 b = 
001  253      Buysse, Milo                      1785           12709             1.0        254 w 1 
001  254      Tuytens, Ivo                      1768           44563             0.0        253 b 0 
001  255      Masselin, Lennert                 1756           24816             0.0        256 w 0 
001  256      François, Pascal                  1778           20290             1.0        255 b 1 
001  257      De Combes, Fernand                1844            4669             0.0        258 w 0 
001  258      Hanssen, Paul                     1680           23329             1.0        257 b 1 
001  259      Kocailov, Moris                   1611           41220             0.5        260 w = 
001  260      Foulon, Greta                     1817           45675             0.5        259 b = 
001  261      Leonel, Davi                      1957           21771             1.0        262 w 1 
001  262      Carmans, Wesley                   1720           14958             0.0        261 b 0 
001  263      Ulburghs, Piet                    1699           59960             0.0        264 w 0 
001  264      Vasylchenko, Maksym               1849           26501             1.0        263 b 1 
001  265      Babii, Oriiana                    1541           26502             0.0        266 w 0 
001  266      Van Der Have, Arthur              1671           24997             1.0        265 b 1 
001  267      Coningx, Giel                     1628           23865             1.0        268 w 1 
001  268      Leonel, Vincenzo                     0           24529             0.0        267 b 0 
001  269      Beullens, Ronald                  1642           52558             0.0        270 w 0 
001  270      Smits, Frank                      1721           96572             1.0        269 b 1 
001  271      Bedert, Bernard                   1671           13421             0.5        272 w = 
001  272      Lequesne, Annie                   1598           10204             0.5        271 b = 
001  273      Sarens, Leon                      1535           19644             0.0        274 w 0 
001  274      Ausloos, Ruben                    1667           23045             1.0        273 b 1 
001  275      Sijben, Len                       1714           27043             0.5        276 w = 
001  276      Seyns, Odilon                     1872           21853             0.5        275 b = 
001  277      Lukin, Yesenia                    1699           22025             1.0        278 w 1 
001  278      Raeymaekers, Timon                1604           17988             0.0        277 b 0 
001  279      Huybrechts, Martijn               1680           20085             1.0        280 w 1 
001  280      Dhooghe, Lars                     1539           26120             0.0        279 b 0 
001  281      Mes, Leander                      1400           15923             0.0        282 w 0 
001  282      Grossen, Jelle                    1468           24896             1.0        281 b 1 
001  283      Peeters, Seppe                    1665           48861             1.0        284 w 1 
001  284      Guldentops, Pierre                1746           23311             0.0        283 b 0 
001  285      Campforts, Jurgen                 1642           13986             0.5        286 w = 
001  286      Vermeer, Stef                     1645           21766             0.5        285 b = 
001  287      Maas, Willem                      1573           14197             1.0        288 w 1 
001  288      Vinckens, Edward                  1660           95697             0.0        287 b 0 
001  289      Schoofs, William                  1524           16453             0.0        290 w 0 
001  290      Verhelst, Gerben                  1536           19675             1.0        289 b 1 
001  291      Snyers, Antoine                   1773           14530             0.0        292 w 0 
001  292      Peeters, Rik                      1672           23984             1.0        291 b 1 
001  293      Vancoillie, Leander               1618           26625             1.0        294 w 1 
001  294      Hendrickx, Wim                    1703           11995             0.0        293 b 0 
001  295      Luxem, Kim                        1620           21290             1.0        296 w 1 
001  296      Thienpont, Alexander              1683           27036             0.0        295 b 0 
001  297      Van Campenhout, Andreas              0           27437             1.0        298 w 1 
001  298      Marmenout, Sylvain                1576           59463             0.0        297 b 0 
001  299      Cakmak, Metehan Tugra             1669           24131             0.0        300 w 0 
001  300      Yilmaz, Ibrahim                   1910           23217             1.0        299 b 1 
001  301      Timmermans, Stefan                1850           39829             0.5        302 w = 
001  302      Kshirsagar, Parth                 1671           22601             0.5        301 b = 
001  303      Shrivastava, Sayan                1664           29136             1.0        304 w 1 
001  304      Neyens, Peter                     1579           18881             0.0        303 b 0 
001  305      Coolen, Victor                    1400           23780             0.0        306 w 0 
001  306      Lindner, Shani                    1716           22206             1.0        305 b 1 
001  307      Labieze, Steven                   1780           31712             0.5        308 w = 
001  308      Lauwers, Timo                     1738           13934             0.5        307 b = 
001  309      Lauwers, Brent                    1623           14694             1.0        310 w 1 
001  310      Goeminne, Nico                    1776           37346             0.0        309 b 0 
001  311      Klimenko, Timur                   1605           24556             0.5        312 w = 
001  312      Peeters, Jurre                    1464           16199             0.5        311 b = 
001  313      Peeters, Jan                      1400           16925             0.5        314 w = 
001  314      Roose, Bernard                    1563           10281             0.5        313 b = 
001  315      Dillen, Alain                     1844           52345             0.5        316 w = 
001  316      Adams, Gert                       1855           56294             0.5        315 b = 
001  317      Tegenbosch, Dirk                  1772            5525             1.0        318 w 1 
001  318      Devis, Wim                        1710           98783             0.0        317 b 0 
001  319      Van Landeghem, Gunther            1670            2925             1.0        320 w 1 
001  320      Verlinden, Willem                 1724           17825             0.0        319 b 0 
001  321      Geylen, Leo                       1760           98402             0.0        322 w 0 
001  322      Sips, Arno                        1648           23387             1.0        321 b 1 
001  323      Ghisa, Alexander                  1731           19897             0.5        324 w = 
001  324      Temmerman, Hans                   1817            2640             0.5        323 b = 
001  325      De Weird, Evy                     1718           26018             0.5        326 w = 
001  326      Geentjens, Pieter                 1713           42749             0.5        325 b = 
001  327      Van Roy, Arno                     1707           50152             0.0        328 w 0 
001  328      Volckaert, Jesse                  1568           23307             1.0        327 b 1 
001  329      Schatteman, Sven                  1655           96704             1.0        330 w 1 
001  330      Ghisa, Robert                     1505           19889             0.0        329 b 0 
001  331      Verbruggen, Axl                      0           26019             0.0        332 w 0 
001  332      De Vriendt, Gilbert               1739           52710             1.0        331 b 1 
001  333      Van Heucke, Marc                  1628           18136             1.0        334 w 1 
001  334      Verhagen, Tristan                    0           28075             0.0        333 b 0 
001  335      Caracatsanis, Roos                1400           27838             0.0        336 w 0 
001  336      Van Hoeyweghen, Norbert           1608           95963             1.0        335 b 1 
001  337      Entwistle, Alan                   1497           16771             1.0        338 w 1 
001  338      Verbruggen, Wout                     0           26021             0.0        337 b 0 
001  339      Chorosinski, Daniel               1751           25611             1.0        340 w 1 
001  340      Palazoski, Elvir                  1701           14766             0.0        339 b 0 
001  341      Castiau, Julien                   1647           55549             0.0        342 w 0 
001  342      Van Hoof, Wilfried                1784           27260             1.0        341 b 1 
001  343      Ducaert, Frederik                 1775           24597             1.0        344 w 1 
001  344      Nica, Radu-Catalin                1614           87611             0.0        343 b 0 
001  345      Ahmet, Gabriel                    1535           19568             0.0        346 w 0 
001  346      Verlinden, Patrick                1733           54917             1.0        345 b 1 
001  347      Speybroeck, Eric                  1794           27502             1.0        348 w 1 
001  348      Rawoens, Jonas                    1723           11006             0.0        347 b 0 
001  349      De Clercq, Geert                  1627           39888             0.5        350 w = 
001  350      Traest, Philip                    1606            6190             0.5        349 b = 
001  351      Dooms, Vincent                    1603           27189             1.0        352 w 1 
001  352      De Clerck, Mathias                   0           26583             0.0        351 b 0 
001  353      Vlaeminck, Frank                  1606           32409             0.5        354 w = 
001  354      Vincent, Albert                   1478            7102             0.5        353 b = 
001  355      Van Den Heuvel, Philip            1730           47741             0.5        356 w = 
001  356      Vanden Eede, Pascal               1719           52035             0.5        355 b = 
001  357      Goderis, Wim                      1681           22870             0.0        358 w 0 
001  358      Balaji, Adhitya Ram               1684           24940             1.0        357 b 1 
001  359      De Smet, Ruben                    1583           12187             0.5        360 w = 
001  360      Vandenbroeck, Michel              1664           15394             0.5        359 b = 
001  361      Dredge, Kevin                        0           28445             1.0        362 w 1 
001  362      D'Heer, Matthias                  1496           13427             0.0        361 b 0 
001  363      Kuenen, Bart                      1858           40711             0.0        364 w 0 
001  364      Baete, Guy                        1928           46281             1.0        363 b 1 
001  365      Verleye, Willy                    1957           30228             0.5        366 w = 
001  366      Elsen, Tijs                       1811           34631             0.5        365 b = 
001  367      Vermassen, Benjamin                  0           29099             0.0        368 w 0 
001  368      Laeremans, Yoel                   1855           24866             1.0        367 b 1 
001  369      Jacobs, Paul                      1823           48968             1.0        370 w 1 
001  370      Covents, Maarten                  1647           12955             0.0        369 b 0 
001  371      Stuer, Hugo                       1729           44482             0.0        372 w 0 
001  372      Vangeel, Didier                   1722            4049             1.0        371 b 1 
001  373      Brys, Yves                        1611           15632             0.0        374 w 0 
001  374      Wynants, Marcel                   1722           95543             1.0        373 b 1 
001  375      Vereecken, Luc                    1567           48577             1.0        376 w 1 
001  376      Valenzuela Nunez, Elias           1623           25252             0.0        375 b 0 
001  377      Van Uytvange, Jonas               1575           23725             1.0        378 w 1 
001  378      Kerremans, Bram                      0           28405             0.0        377 b 0 
001  379      Cheng, Lewis                      1400           24469             0.0        380 w 0 
001  380      Goossens, Robin                   1606           27015             1.0        379 b 1 
001  381      Van Hove, David                   1627           15767             1.0        382 w 1 
001  382      Arulraj, Varsan                      0           27507             0.0        381 b 0 
001  383      Schutter, Maxime                     0           29448             0.0        384 w 0 
001  384      Van Dosselaer, Mattias            1654           50295             1.0        383 b 1 
001  385      Verbruggen, David                 1585           13172             1.0        386 w 1 
001  386      Suppiah, Akarshan                    0           25371             0.0        385 b 0 
001  387      Hasan, Mahmoud                       0           29362             0.0        388 w 0 
001  388      Van Bunderen, Gert                1866           18686             1.0        387 b 1 
001  389      De Hert, Robert                   1800            4626             0.0        390 w 0 
001  390      Aliyev, Kamran                       0           28459             1.0        389 b 1 
001  391      Anckaert, Benjamin                1666           23032             1.0        392 w 1 
001  392      Huysmans, Pierre                  1676           11592             0.0        391 b 0 
001  393      Van Leuven, Jan                   1501           24890             0.0        394 w 0 
001  394      Brasseur, Paul                    1662           26941             1.0        393 b 1 
001  395      Van Eetvelde, Bart                1701           33146             1.0        396 w 1 
001  396      De Groof, Maarten                 1635           24987             0.0        395 b 0 
001  397      Verplancke, Joost                 1553           24766             1.0        398 w 1 
001  398      Moeyersons, Koenraad              1633            6050             0.0        397 b 0 
001  399      Oudewaal, George                  1438           19719             0.0        400 w 0 
001  400      Deseyn, Xander                       0           29239             1.0        399 b 1 
001  401      Logarathinam Manjula, Prithuvik   1400           27680             1.0        402 w 1 
001  402      Van Tendeloo, Maria               1457           12563             0.0        401 b 0 
001  403      Dubois, Robin                     1442           28574             0.5        404 w = 
001  404      Pham, Cam Ngoc                    1789           25218             0.5        403 b = 
001  405      Pham Kieu, Khanh                  1631           20509             0.5        406 w = 
001  406      Didricht, Bruno                   1590           28865             0.5        405 b = 
001  407      Rumler, Maxime                    1573           25139             0.5        408 w = 
001  408      Valenson, Lou                     1400           26877             0.5        407 b = 
001  409      Pham Hoang, Minh                  1400           26020             1.0        410 w 1 
001  410      Walrant, Tim                         0           29230             0.0        409 b 0 
001  411      Rol Cortijo, Pablo                1622           25630             0.5        412 w = 
001  412      Loucheur, Jean-Philippe           1852           76155             0.5        411 b = 
001  413      De Groot, Frans                   1805           27305             1.0        414 w 1 
001  414      Orban, Didier                     1641           97157             0.0        413 b 0 
001  415      Lazzari, Irène                    1590           25620             0.0        416 w 0 
001  416      Bontemps, Martin                     0           28161             1.0        415 b 1 
001  417      Monaville, Guy                    1980            9296             0.0        418 w 0 
001  418      Zamparo, Sergio                   1983           95052             1.0        417 b 1 
001  419      Rampelbergh, Wilfrid              1741           95826             0.5        420 w = 
001  420      Mikolajezak, Dominique            1766           88331             0.5        419 b = 
001  421      Gerard, Xavier                    1764           16964             0.5        422 w = 
001  422      Van De Craen, Piet                1721            7013             0.5        421 b = 
001  423      De Smet, Karl                     1588           15261             1.0        424 w 1 
001  424      Lequeux, Sylvain                     0           17093             0.0        423 b 0 
