00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 1 à 1
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=760 R=1 S=29/09/24 E=29/09/24 +308 =144 -308
012 Belgian Interclubs 2024 - 2025 - Round 1
022 Various locations in Belgian Clubs
032 BEL
042 2024-09-29
052 2024-09-29
062 760
102 Cornet, Luc
001  129      Ulenaers, Marc                    1750           89508             0.5        130 w = 
001  130      Truwant, Pieter                   1970           45063             0.5        129 b = 
001  131      Roelandt, Jesse                   1899           21498             0.5        132 w = 
001  132      Renckens, Yannick                 1817            5177             0.5        131 b = 
001  133      Muller, Erik                      1743           27465             1.0        134 w 1 
001  134      Totelet, Owen                     1591           26552             0.0        133 b 0 
001  135      Hanssens, Daan                    1591           19069             0.5        136 w = 
001  136      Wydooghe, Diederik                1624           17755             0.5        135 b = 
001  137      Vercaigne, Efrem                  1712            4448             0.0        138 w 0 
001  138      Van Der Beken, Ruben                 0           29108             1.0        137 b 1 
001  139      Vandendriessche, Sam              1570           26665             0.0        140 w 0 
001  140      Notebaert, Jaron                     0           29169             1.0        139 b 1 
001  141      Verbeke, Tom                         0           29417             1.0        142 w 1 
001  142      De Winter, Gerrit                    0           28834             0.0        141 b 0 
001  143      Ingelbert, Wout                   1527           22014             0.0        144 w 0 
001  144      Verbanck, Mario                   1470           30431             1.0        143 b 1 
001  145      Vandenbussche, Johan              1848           10880             1.0        146 w 1 
001  146      Bracke, Tim                          0           13277             0.0        145 b 0 
001  147      Pu, Yu                               0           28052             1.0        148 w 1 
001  148      Strynckx, Thibeau                 1656           23341             0.0        147 b 0 
001  149      Esprit, Kobe                      1573           22862             1.0        150 w 1 
001  150      Voronin, Nikolay                     0           28918             0.0        149 b 0 
001  151      Jans, Rinse                          0           27675             0.0        152 w 0 
001  152      De Brouwere, Johan                1791           30988             1.0        151 b 1 
001  153      Temmerman, Sara                   1871           13529             1.0        154 w 1 
001  154      De Witte, Rube                    1541           27510             0.0        153 b 0 
001  155      Safraoui, Ilyas                      0           29445             0.0        156 w 0 
001  156      De Meester, Johan                 1784           23303             1.0        155 b 1 
001  157      Colsen, Manuel                    1744           29387             1.0        158 w 1 
001  158      Vandenberghe, Leon                1400           27818             0.0        157 b 0 
001  159      Strijckmans, Korneel                 0           23484             0.0        160 w 0 
001  160      Van Quekelberghe, Maarten         1719           23667             1.0        159 b 1 
001  161      Lambrecht, Milan                  1896           26990             0.5        162 w = 
001  162      De Kock, Carlo                    1735           24311             0.5        161 b = 
001  163      Defour, Eline                     1654           23351             0.5        164 w = 
001  164      Vanden Abeele, Xavier             1829           55280             0.5        163 b = 
001  165      Wollaert, Brian                   1754           51829             1.0        166 w 1 
001  166      Daniels, Annelies                 1684           23090             0.0        165 b 0 
001  167      Claerhout, Tieme                  1590           26366             0.5        168 w = 
001  168      Vandevelde, Luc                   1661           36366             0.5        167 b = 
001  169      Tumenjargal, Suldee               1816           19937             1.0        170 w 1 
001  170      Oloeriu, Cezar                    1490           16812             0.0        169 b 0 
001  171      Oloeriu, Lacramioara              1490           15120             0.0        172 w 0 
001  172      Dezutter, Johan                   1893           31640             1.0        171 b 1 
001  173      Schoutteeten, Stefaan             1746           10012             1.0        174 w 1 
001  174      Mertens, Toon                        0           29134             0.0        173 b 0 
001  175      Dehoux, Cédric                    1716           23021             0.5        176 w = 
001  176      Amoroso, Thomas                   1722           23960             0.5        175 b = 
001  177      Mangini, Giovanni                 1680           97504             0.5        178 w = 
001  178      Auquier, Yvan                     1703           80195             0.5        177 b = 
001  179      Vignery, Gaël                     1507           27591             1.0        180 w 1 
001  180      Foucart, Olivier                  1613           23295             0.0        179 b 0 
001  181      Martin, Alexandre                 1679           27479             1.0        182 w 1 
001  182      Russo, Filippe                    1542           24003             0.0        181 b 0 
001  183      Akuatse, Angel Kaleb              1827           13468             1.0        184 w 1 
001  184      Barbier, Francois                 1727           68691             0.0        183 b 0 
001  185      Lejeune, Samuel                   1711           69990             0.0        186 w 0 
001  186      Charlier, Laurent                 1820           82571             1.0        185 b 1 
001  187      Marchal, Anaïs                    1712           12610             0.0        188 w 0 
001  188      Cuitte, Olivier                   1643           90085             1.0        187 b 1 
001  189      Danloy, Lucas                     1436           26869             0.5        190 w = 
001  190      Lejeune, Raphaël                  1631           12104             0.5        189 b = 
001  191      Marciniak, Marcel                 1892           13586             1.0        192 w 1 
001  192      Henrotte, Christian               1739           98146             0.0        191 b 0 
001  193      Konidakis, Nicolas                1635           22909             1.0        194 w 1 
001  194      Knudde, Francis                   1785           71081             0.0        193 b 0 
001  195      Blois, Dominique                  1534           27198             0.5        196 w = 
001  196      Giannone, Angelo                  1671           25492             0.5        195 b = 
001  197      Dufrasne, Lucas                   1644           25209             1.0        198 w 1 
001  198      Montignie, Damien                 1586           21533             0.0        197 b 0 
001  199      Thomas, John                      1594           19971             1.0        200 w 1 
001  200      Jijin, Thanmay                    1550           26527             0.0        199 b 0 
001  201      De Briey, Igor                    1564           20660             1.0        202 w 1 
001  202      Monnom, Matteo                    1530           24559             0.0        201 b 0 
001  203      Eloy, Timothée                    1400           22087             1.0        204 w 1 
001  204      Coutton, Galian                   1408           22364             0.0        203 b 0 
001  205      Drugmand, François                1400           25306             1.0        206 w 1 
001  206      Martial, Diego                       0           24815             0.0        205 b 0 
001  207      Marlier, Maxime                   1745           24051             0.0        208 w 0 
001  208      Pegoretti, Franco                 1876           57959             1.0        207 b 1 
001  209      Vansteenkiste, John               1623           70629             0.0        210 w 0 
001  210      De Brouwer, Philippe              1798           97781             1.0        209 b 1 
001  211      Dusépulchre, Théo                 1575           20068             1.0        212 w 1 
001  212      Carpentieri, Roberto                 0           29280             0.0        211 b 0 
001  213      Mdaghri, Issam                       0           28288             0.0        214 w 0 
001  214      Verlaine, Gabriel                 1593           27931             1.0        213 b 1 
001  215      Buysse, Milo                      1785           12709             1.0        216 w 1 
001  216      Viaene, Jan                       1785           48151             0.0        215 b 0 
001  217      Lauwers, Rudi                     1627           11611             0.5        218 w = 
001  218      François, Pascal                  1778           20290             0.5        217 b = 
001  219      De Combes, Fernand                1844            4669             1.0        220 w 1 
001  220      De Swert, Heidi                   1622           98797             0.0        219 b 0 
001  221      Vancoppenolle, Ghislain           1618           32221             0.0        222 w 0 
001  222      Foulon, Greta                     1817           45675             1.0        221 b 1 
001  223      Tuytens, Ivo                      1768           44563             0.5        224 w = 
001  224      Polfliet, Seppe                   1539           26710             0.5        223 b = 
001  225      Kirakosyan, Karen                    0           28140             0.0        226 w 0 
001  226      Masselin, Lennert                 1756           24816             1.0        225 b 1 
001  227      Hanssen, Paul                     1680           23329             0.5        228 w = 
001  228      Delhoune, Jonathan                   0           23893             0.5        227 b = 
001  229      Gosiau, Daan                         0           27564             0.0        230 w 0 
001  230      Kocailov, Moris                   1611           41220             1.0        229 b 1 
001  231      Spinazzola, Matteo                1631           21767             1.0        232 w 1 
001  232      Cheng, Samuel                     1648           17829             0.0        231 b 0 
001  233      Pien, Jonas                       1607           23033             1.0        234 w 1 
001  234      Stes, Stella                      1552           25019             0.0        233 b 0 
001  235      Kirisgil, Cinar                      0           23877             0.0        236 w 0 
001  236      Ooms, Lennert                     1524           24114             1.0        235 b 1 
001  237      Ivanov, Theo                         0           28047             0.0        238 w 0 
001  238      Kumar, Akil Ganesh                   0           24312             1.0        237 b 1 
001  239      Schillemans, Willy                1874           58335             0.0        240 w 0 
001  240      Van Der Auwera, Jan               1896           34622             1.0        239 b 1 
001  241      Verellen, Jef                     1885           50270             1.0        242 w 1 
001  242      De Coninck, Rune                  1696           23512             0.0        241 b 0 
001  243      Minnaert, Bob                     1544           22760             1.0        244 w 1 
001  244      Stroobant, Filip                     0           21779             0.0        243 b 0 
001  245      Gijsen, Patrick                   1490            1635             0.0        246 w 0 
001  246      Van De Voorde, Kasper             1519           28224             1.0        245 b 1 
001  247      Manueke, Hervano                  1635           15928             1.0        248 w 1 
001  248      Vanden Abeele, Laura              1411           28017             0.0        247 b 0 
001  249      Van Esbroeck, Jozef               1546           10210             1.0        250 w 1 
001  250      Thiry, Victor                     1679           16418             0.0        249 b 0 
001  251      Smets, Steff                      1534           27184             1.0        252 w 1 
001  252      Smet, Tuur                           0           29401             0.0        251 b 0 
001  253      De Middelaer, Wout                   0           29379             0.0        254 w 0 
001  254      Zenuni, Drilon                       0           29189             1.0        253 b 1 
001  255      Veelenturf, Wim                   1665           23026             1.0        256 w 1 
001  256      Pauwels, Wout                     1666           16062             0.0        255 b 0 
001  257      Celiktas, Kaan                    1588           18081             0.0        258 w 0 
001  258      Oxener, Aldo                      1662           15063             1.0        257 b 1 
001  259      Van Der Kruk, Rik                    0           25352             0.5        260 w = 
001  260      Celiktas, Ayhan                   1542           18084             0.5        259 b = 
001  261      De Cat, Timo                      1547           21599             1.0        262 w 1 
001  262      Claessens, Thias                     0           27361             0.0        261 b 0 
001  263      Cakmak, Metehan Tugra             1669           24131             0.0        264 w 0 
001  264      Leonel, Davi                      1957           21771             1.0        263 b 1 
001  265      Vasylchenko, Maksym               1849           26501             0.0        266 w 0 
001  266      Kshirsagar, Parth                 1671           22601             1.0        265 b 1 
001  267      Shrivastava, Sayan                1664           29136             1.0        268 w 1 
001  268      Babii, Oriiana                    1541           26502             0.0        267 b 0 
001  269      Leonel, Vincenzo                     0           24529             0.0        270 w 0 
001  270      Lindner, Shani                    1716           22206             1.0        269 b 1 
001  271      Yilmaz, Ibrahim                   1910           23217             1.0        272 w 1 
001  272      Snyers, Antoine                   1773           14530             0.0        271 b 0 
001  273      Hendrickx, Wim                    1703           11995             1.0        274 w 1 
001  274      Timmermans, Stefan                1850           39829             0.0        273 b 0 
001  275      Neyens, Peter                     1579           18881             0.5        276 w = 
001  276      Luxem, Kim                        1620           21290             0.5        275 b = 
001  277      Marmenout, Sylvain                1576           59463             1.0        278 w 1 
001  278      Coolen, Victor                    1400           23780             0.0        277 b 0 
001  279      Peeters, Rik                      1672           23984             1.0        280 w 1 
001  280      Peeters, Seppe                    1665           48861             0.0        279 b 0 
001  281      Vermeer, Stef                     1645           21766             0.5        282 w = 
001  282      Vancoillie, Leander               1618           26625             0.5        281 b = 
001  283      Thienpont, Alexander              1683           27036             1.0        284 w 1 
001  284      Maas, Willem                      1573           14197             0.0        283 b 0 
001  285      Verhelst, Gerben                  1536           19675             1.0        286 w 1 
001  286      Van Campenhout, Andreas              0           27437             0.0        285 b 0 
001  287      Guldentops, Pierre                1746           23311             1.0        288 w 1 
001  288      Sijben, Len                       1714           27043             0.0        287 b 0 
001  289      Huybrechts, Martijn               1680           20085             0.5        290 w = 
001  290      Campforts, Jurgen                 1642           13986             0.5        289 b = 
001  291      Vinckens, Edward                  1660           95697             0.0        292 w 0 
001  292      Li, Alex                          1400           22751             1.0        291 b 1 
001  293      Li, Erik                          1518           23909             0.5        294 w = 
001  294      Cassiman, Thias                      0           29138             0.5        293 b = 
001  295      Seyns, Odilon                     1872           21853             0.0        296 w 0 
001  296      Deserrano, Gertjan                1856           37991             1.0        295 b 1 
001  297      Bedert, Bernard                   1671           13421             1.0        298 w 1 
001  298      Lukin, Yesenia                    1699           22025             0.0        297 b 0 
001  299      Bracke, Dusty                     1569           15787             1.0        300 w 1 
001  300      Ausloos, Ruben                    1667           23045             0.0        299 b 0 
001  301      Poets, Wim                        1627           43991             0.0        302 w 0 
001  302      Toroptsev, Kristian               1550           22027             1.0        301 b 1 
001  303      De Bie, Yannick                   1671           16762             0.0        304 w 0 
001  304      Nijssen, Tom                      1819           24994             1.0        303 b 1 
001  305      Carmans, Wesley                   1720           14958             0.5        306 w = 
001  306      Jonckers, Marie-Jeanne            1656            5703             0.5        305 b = 
001  307      Lequesne, Annie                   1598           10204             0.0        308 w 0 
001  308      Jakers, Jens                      1631           13282             1.0        307 b 1 
001  309      Eneman, Alexander                    0           16987             1.0        310 w 1 
001  310      Sarens, Leon                      1535           19644             0.0        309 b 0 
001  311      Speybroeck, Eric                  1794           27502             1.0        312 w 1 
001  312      Labieze, Steven                   1780           31712             0.0        311 b 0 
001  313      Goeminne, Nico                    1776           37346             1.0        314 w 1 
001  314      Traest, Philip                    1606            6190             0.0        313 b 0 
001  315      Vincent, Albert                   1478            7102             0.0        316 w 0 
001  316      Ongenae, Veerle                   1496           16522             1.0        315 b 1 
001  317      Ingels, Nick                      1490           24147             1.0        318 w 1 
001  318      Picqueur, Eric                    1484           24015             0.0        317 b 0 
001  319      Ganguly, Aayush                   1760           22884             0.0        320 w 0 
001  320      Chorosinski, Daniel               1751           25611             1.0        319 b 1 
001  321      Van Hoof, Wilfried                1784           27260             0.0        322 w 0 
001  322      Rawoens, Jonas                    1723           11006             1.0        321 b 1 
001  323      Petit, Emilien                    1661           50245             0.0        324 w 0 
001  324      Ducaert, Frederik                 1775           24597             1.0        323 b 1 
001  325      Verlinden, Patrick                1733           54917             1.0        326 w 1 
001  326      Vlaeminck, Frank                  1606           32409             0.0        325 b 0 
001  327      Criquillion, Guillaume            1743           27543             1.0        328 w 1 
001  328      Verhagen, Rinus                   1481           27513             0.0        327 b 0 
001  329      Verhagen, Tristan                    0           28075             0.0        330 w 0 
001  330      Palazoski, Elvir                  1701           14766             1.0        329 b 1 
001  331      Castiau, Julien                   1647           55549             1.0        332 w 1 
001  332      Caracatsanis, Roos                1400           27838             0.0        331 b 0 
001  333      Suppiah, Akarshan                    0           25371             0.0        334 w 0 
001  334      Nica, Radu-Catalin                1614           87611             1.0        333 b 1 
001  335      De Vriendt, Gilbert               1739           52710             0.0        336 w 0 
001  336      Ghisa, Alexander                  1731           19897             1.0        335 b 1 
001  337      Geentjens, Pieter                 1713           42749             1.0        338 w 1 
001  338      Van Heucke, Marc                  1628           18136             0.0        337 b 0 
001  339      Entwistle, Alan                   1497           16771             0.0        340 w 0 
001  340      Ghisa, Robert                     1505           19889             1.0        339 b 1 
001  341      Lalemant, Thiebout                   0           29240             0.0        342 w 0 
001  342      Lipa, Klaas                          0           19707             1.0        341 b 1 
001  343      Goossens, Jelle                   1844           15026             1.0        344 w 1 
001  344      Dillen, Alain                     1844           52345             0.0        343 b 0 
001  345      Devis, Wim                        1710           98783             0.0        346 w 0 
001  346      Temmerman, Hans                   1817            2640             1.0        345 b 1 
001  347      Van De Putte, Ben                 1778            2127             1.0        348 w 1 
001  348      Van Landeghem, Gunther            1670            2925             0.0        347 b 0 
001  349      Clarys, Stefaan                   1578           10248             0.0        350 w 0 
001  350      Schröer, Charlotte                1749           28762             1.0        349 b 1 
001  351      Adams, Gert                       1855           56294             0.0        352 w 0 
001  352      Lauwers, Timo                     1738           13934             1.0        351 b 1 
001  353      Lauwers, Brent                    1623           14694             0.5        354 w = 
001  354      Demarré, Jan                      1906           11510             0.5        353 b = 
001  355      Tegenbosch, Dirk                  1772            5525             1.0        356 w 1 
001  356      Peeters, Jurre                    1464           16199             0.0        355 b 0 
001  357      Peeters, Jan                      1400           16925             0.0        358 w 0 
001  358      Verlinden, Willem                 1724           17825             1.0        357 b 1 
001  359      Weynen, John                      1745           95604             0.5        360 w = 
001  360      Van Den Heuvel, Philip            1730           47741             0.5        359 b = 
001  361      Balaji, Adhitya Ram               1684           24940             0.5        362 w = 
001  362      Van Eetvelde, Bart                1701           33146             0.5        361 b = 
001  363      Moeyersons, Koenraad              1633            6050             0.0        364 w 0 
001  364      Mirakyan, Alex                    1511           27199             1.0        363 b 1 
001  365      D'Heer, Matthias                  1496           13427             1.0        366 w 1 
001  366      Van Tendeloo, Maria               1457           12563             0.0        365 b 0 
001  367      De Groof, Maarten                 1635           24987             0.0        368 w 0 
001  368      Vandeputte, Thomas                1797           27469             1.0        367 b 1 
001  369      Aliyev, Kamran                       0           28459             1.0        370 w 1 
001  370      Verplancke, Joost                 1553           24766             0.0        369 b 0 
001  371      Logarathinam Manjula, Prithuvik   1400           27680             0.5        372 w = 
001  372      Steyt, Antoine                    1598           26888             0.5        371 b = 
001  373      Batista-Genot, Lou                1514           26761             1.0        374 w 1 
001  374      Prakash, Yuvan                       0           22817             0.0        373 b 0 
001  375      Huysmans, Pierre                  1676           11592             1.0        376 w 1 
001  376      Cheng, Lewis                      1400           24469             0.0        375 b 0 
001  377      Brouwers, Boaz                    1400           26995             0.0        378 w 0 
001  378      Dua, Wim                          1687           68748             1.0        377 b 1 
001  379      De Laet, Thijs                    1647           28437             0.0        380 w 0 
001  380      Schutter, Maxime                     0           29448             1.0        379 b 1 
001  381      Suply, Nolan                      1400           28472             0.0        382 w 0 
001  382      Van Leuven, Jan                   1501           24890             1.0        381 b 1 
001  383      Stuer, Hendrik                    1771           54046             0.5        384 w = 
001  384      Vereecken, Bart                   1774           48623             0.5        383 b = 
001  385      Van Der Meiren, August            1765            8044             0.5        386 w = 
001  386      Van Dosselaer, Mattias            1654           50295             0.5        385 b = 
001  387      Goossens, Robin                   1606           27015             0.0        388 w 0 
001  388      Stuer, Hugo                       1729           44482             1.0        387 b 1 
001  389      Wynants, Marcel                   1722           95543             0.5        390 w = 
001  390      Verbruggen, David                 1585           13172             0.5        389 b = 
001  391      Pauwels, Fons                     1796           17445             0.0        392 w 0 
001  392      Kuenen, Bart                      1858           40711             1.0        391 b 1 
001  393      Vaerendonck, Jesse                1664           26795             1.0        394 w 1 
001  394      Brys, Yves                        1611           15632             0.0        393 b 0 
001  395      Van Uytvange, Jonas               1575           23725             0.0        396 w 0 
001  396      Covents, Maarten                  1647           12955             1.0        395 b 1 
001  397      Baes, Mathias                        0           29097             1.0        398 w 1 
001  398      Brys, Kristof                     1619           15620             0.0        397 b 0 
001  399      Baete, Guy                        1928           46281             1.0        400 w 1 
001  400      Vanden Eede, Pascal               1719           52035             0.0        399 b 0 
001  401      Goderis, Wim                      1681           22870             0.5        402 w = 
001  402      Verleye, Willy                    1957           30228             0.5        401 b = 
001  403      Jacobs, Paul                      1823           48968             1.0        404 w 1 
001  404      Beullens, Ronald                  1642           52558             0.0        403 b 0 
001  405      Dredge, Kevin                        0           28445             0.0        406 w 0 
001  406      Geylen, Leo                       1760           98402             1.0        405 b 1 
001  407      Didricht, Bruno                   1590           28865             1.0        408 w 1 
001  408      Laureyn, Nicolas                  1532           26517             0.0        407 b 0 
001  409      Vervoort, Loïc                    1684           26469             0.0        410 w 0 
001  410      Rumler, Maxime                    1573           25139             1.0        409 b 1 
001  411      Havelange, André                  1476           94714             1.0        412 w 1 
001  412      Dekoker, Patricia                 1414           60498             0.0        411 b 0 
001  413      Deider, Kevin                     1931           14999             1.0        414 w 1 
001  414      Vandecan, Michel                  1870           37401             0.0        413 b 0 
001  415      Oostenbach, Ronny                 1670           73393             0.5        416 w = 
001  416      Dönitz, Julian                    1753           29089             0.5        415 b = 
001  417      Vogel, Kurt                       1720           29103             1.0        418 w 1 
001  418      Bleus, Axel                       1486           28202             0.0        417 b 0 
001  419      Henderyckx, Nathan                   0           28856             0.0        420 w 0 
001  420      Deider, Artur                     1714           29083             1.0        419 b 1 
001  421      Cultiaux, Pierre                  1784           87831             0.0        422 w 0 
001  422      Onbelet, Steve                    1787           10716             1.0        421 b 1 
001  423      Piron, Jean-Marie                 1755           65722             1.0        424 w 1 
001  424      Bodart, Cédric                    1751           15419             0.0        423 b 0 
