00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 11 à 11
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=936 R=1 S=21/04/24 E=21/04/24 +305 =326 -305
012 Belgian Interclubs 2023 - 2024 - Round 11
022 Various locations in Belgian Clubs
032 BEL
042 2024-04-21
052 2024-04-21
062 936
102 Cornet, Luc
001   67      Dgebuadze, Alexandre              2439           49301             0.5         68 w = 
001   68      Glek, Igor                        2429           98035             0.5         67 b = 
001   69      Fiebig, Thomas                    2413           94269             0.5         70 w = 
001   70      Larkin, Vladyslav                 2477           24621             0.5         69 b = 
001   71      Pham, Khoi                        2356           24764             0.5         72 w = 
001   72      Klein, Felix                      2300           98574             0.5         71 b = 
001   73      Harff, Marcel                     2295           14131             0.5         74 w = 
001   74      Muetsch, Annmarie                 2262           26763             0.5         73 b = 
001   75      Vucinic, Gojko                    2361           16439             0.5         76 w = 
001   76      Ahn, Martin                       2186           93815             0.5         75 b = 
001   77      Meessen, Rudolf                   2173             345             0.5         78 w = 
001   78      Grochal, Joey                     2234           50251             0.5         77 b = 
001   79      Damen, Jip                        2219           19646             1.0         80 w 1 
001   80      Mainka, Alwin                     2191           21275             0.0         79 b 0 
001   81      Åkesson, Ralf                     2388           75515             0.0         82 w 0 
001   82      Beukema, Jasper                   2321           50086             1.0         81 b 1 
001   83      Decrop, Benjamin                  2176           28436             0.5         84 w = 
001   84      Sirosh, Ilja                      2363           24765             0.5         83 b = 
001   85      Dauw, Sterre                      2234           15269             0.0         86 w 0 
001   86      Bouhallel, Rabah                  2239            1759             1.0         85 b 1 
001   87      Timmerman Gert, Jan               2207           43648             0.0         88 w 0 
001   88      Praet, Maarten                    2236            6084             1.0         87 b 1 
001   89      Tonoli, Benjamin                  2183           16365             0.0         90 w 0 
001   90      Roger, Mehdi                      2131           76368             1.0         89 b 1 
001   91      Decrop, Hendrik                   2083           28908             1.0         92 w 1 
001   92      Verheyden, Jonas                  2109           32328             0.0         91 b 0 
001   93      Van Espen, Eddy                   2036           56332             0.5         94 w = 
001   94      Faure, Stéphane                   2038           52795             0.5         93 b = 
001   95      Decrop, Ruben                     1992           45608             0.0         96 w 0 
001   96      Nguyen, Khoi                      1888           23637             1.0         95 b 1 
001   97      García Cuenca, Víctor             2302           22636             1.0         98 w 1 
001   98      Barseghyan, Harutyun              2434           27001             0.0         97 b 0 
001   99      Hoffmeister, Frank                2158           81558             0.0        100 w 0 
001  100      Therkildsen, Thomas               2252           16022             1.0         99 b 1 
001  101      Houdart, David                    2192           66770             0.0        102 w 0 
001  102      Perez De Aranda A., Leonardo I.   2118           17595             1.0        101 b 1 
001  103      Ouaki, Mark                       2098           18047             1.0        104 w 1 
001  104      Franc, Thomas                     1760           23066             0.0        103 b 0 
001  105      Akuatse, Angel Kaleb              1778           13468             0.0        106 w 0 
001  106      Suskovic, Matija                  2099           87548             1.0        105 b 1 
001  107      Keil, Andreas                     2095           26985             1.0        108 w 1 
001  108      Charlier, Laurent                 1746           82571             0.0        107 b 0 
001  109      Descamps, Julien                  1463           26953             0.0        110 w 0 
001  110      Alberola Mulet, Benjamin          1937           15619             1.0        109 b 1 
001  111      Saiboulatov, Daniyal              2358           67008             0.5        112 w = 
001  112      Hauchamps, Maxime                 2224           20540             0.5        111 b = 
001  113      Cools, Gorik                      2238           80403             0.5        114 w = 
001  114      Eliet, Nicolas                    2314           70564             0.5        113 b = 
001  115      Sclacmender, Julien               2211           74853             1.0        116 w 1 
001  116      Carmeille, Ludovic                2251           13477             0.0        115 b 0 
001  117      Laurent, Julien                   2185           50233             1.0        118 w 1 
001  118      Marte, Sébastien                  2156           64637             0.0        117 b 0 
001  119      Jamar, Vadim                      2042           87408             0.5        120 w = 
001  120      Geenen, Marc                      2218           86495             0.5        119 b = 
001  121      Bauduin, Étienne                  2195           61328             0.5        122 w = 
001  122      De Heug, Andrea                   2031           22966             0.5        121 b = 
001  123      Piacentini, Claudio               2052           54810             0.0        124 w 0 
001  124      Fayard, Alain                     2158           12804             1.0        123 b 1 
001  125      Raptis, Filippos                  2074           20846             1.0        126 w 1 
001  126      Iacona, Antonio                   1795           70734             0.0        125 b 0 
001  127      Cornette, Matthieu                2581           14782             1.0        128 w 1 
001  128      Anciaux, Adrien                   2225           17648             0.0        127 b 0 
001  129      Dallemagne, Maximilien            2135           12756             1.0        130 w 1 
001  130      Memeti, Kastriot                  2158           63053             0.0        129 b 0 
001  131      Munster, Pierre                   2028           62600             1.0        132 w 1 
001  132      Iolis, Oleg                       2181           87921             0.0        131 b 0 
001  133      Miulescu, Gabriel                 1978           19476             0.5        134 w = 
001  134      Bikady, Claude                    1848           81019             0.5        133 b = 
001  135      Latour, Quentin                   1658           25638             0.0        136 w 0 
001  136      Verspecht, Thierry                2017           84255             1.0        135 b 1 
001  137      Bouchat, Xavier                   1873           70602             0.5        138 w = 
001  138      Doubnov, Ilucha                   1530           85863             0.5        137 b = 
001  139      Walrant, Toan                     1509           26470             0.5        140 w = 
001  140      Barlow, James                     1833           22967             0.5        139 b = 
001  141      Drugmand, Benoît                  1524           23003             1.0        142 w 1 
001  142      Rumler, Maxime                       0           25139             0.0        141 b 0 
001  143      Odendahl, Reiner                  2295           19969             0.5        144 w = 
001  144      Follesa, Enrico                   2222           14386             0.5        143 b = 
001  145      Draftian, Ashote                  2271           20354             0.5        146 w = 
001  146      Dardha, Arben                     2269           20214             0.5        145 b = 
001  147      Marcziter, Dmitrii                2223           10824             0.5        148 w = 
001  148      Verhaeren, Gertjan                2083            6815             0.5        147 b = 
001  149      Liessens, Tom                     1896           19720             1.0        150 w 1 
001  150      Muehlenhaus, Sven                 2101           14162             0.0        149 b 0 
001  151      Roessler, Nicolas                 2014           10653             0.5        152 w = 
001  152      Lacrosse, Marc                    2057           59544             0.5        151 b = 
001  153      Vincent, Gwijde                   1889            5827             1.0        154 w 1 
001  154      Laurent, Yann                     1843           13936             0.0        153 b 0 
001  155      Vincent, Ayla                     1728           26271             0.0        156 w 0 
001  156      Marcziter, Alex                   1725           23106             1.0        155 b 1 
001  157      Herman, Jean                      2248           73296             1.0        158 w 1 
001  158      Peek, Maurice                     2385           63819             0.0        157 b 0 
001  159      Gijsen, Stief                     2224            1031             0.5        160 w = 
001  160      Wantiez, Fabrice                  2226           70823             0.5        159 b = 
001  161      Jimenez, Martin                   2027           14183             0.5        162 w = 
001  162      Maes, Thomas                      2227            2623             0.5        161 b = 
001  163      Swijsen, Lars                     2153            5606             1.0        164 w 1 
001  164      Brasselle, André                  1872           61069             0.0        163 b 0 
001  165      Lui, Eric                         1960           81981             1.0        166 w 1 
001  166      Govoreanu, Matei                  1964           16824             0.0        165 b 0 
001  167      Vanlommel, Maxim                  1695           11373             1.0        168 w 1 
001  168      Wattin, Joffrey                   1879           61301             0.0        167 b 0 
001  169      Letoret, Tim                      1570           22957             1.0        170 w 1 
001  170      Verduyckt, Johan                  1788           46361             0.0        169 b 0 
001  171      De Vet, Sylvin                    1523           34533             0.5        172 w = 
001  172      Molitor, Milo                     1591           23285             0.5        171 b = 
001  173      Driessens, Patrick                2242           48992             0.0        174 w 0 
001  174      Pirard, Natan                     2261           10942             1.0        173 b 1 
001  175      Ponnet, Hendrik                   2282           17116             1.0        176 w 1 
001  176      Miesen, Fabian                    2211           11001             0.0        175 b 0 
001  177      Mengerink, Ynze                   2068           11486             1.0        178 w 1 
001  178      Van Hille, Reinout                1852           29602             0.0        177 b 0 
001  179      Wambecq, Ward                     1669           19723             1.0        180 w 1 
001  180      Bachaus, Sander                   1984           16529             0.0        179 b 0 
001  181      De Mon, Gino                      1978           11986             1.0        182 w 1 
001  182      Rousseau, Christilla              1653           16160             0.0        181 b 0 
001  183      Wambecq, Sven                     1660           25607             0.5        184 w = 
001  184      Merx, Bob                         1953           10537             0.5        183 b = 
001  185      De Vries, Leon                    1926           21219             1.0        186 w 1 
001  186      Rits, Beere                       1549           10697             0.0        185 b 0 
001  187      Roos, Adrian                      2261           11118             0.0        188 w 0 
001  188      Froeyman, Helmut                  2296           13668             1.0        187 b 1 
001  189      Sadkowski, Daniel                 2222           69329             0.5        190 w = 
001  190      Dreelinck, Adriaan                2218           14078             0.5        189 b = 
001  191      Roos, David                       2101           11789             1.0        192 w 1 
001  192      Prudlo, Simon                     2139           21174             0.0        191 b 0 
001  193      Van Mechelen, Jan                 2114           14354             1.0        194 w 1 
001  194      Smekens, Ruben                    2045           15032             0.0        193 b 0 
001  195      Colin, Peter                      1964           23841             0.0        196 w 0 
001  196      Penson, Thierry                   2149           25763             1.0        195 b 1 
001  197      Tolk, Pieter                      2089           53589             0.0        198 w 0 
001  198      De Weird, Matthias                1985           25933             1.0        197 b 1 
001  199      Poelman, Geoffrey                 1920           52019             0.0        200 w 0 
001  200      Eerens, Pim                       2034           23532             1.0        199 b 1 
001  201      Schuermans, Robert                2066            6858             0.5        202 w = 
001  202      Van Parys, Nikita                 1794           10045             0.5        201 b = 
001  203      Boucquet, Emile                   2207           34738             1.0        204 w 1 
001  204      Boeykens, Marc                    2146           67946             0.0        203 b 0 
001  205      Butzen, Robin                     2062           13707             0.0        206 w 0 
001  206      Meulders, Richard                 2199            1104             1.0        205 b 1 
001  207      Verduyn, Frederic                 2105           51764             1.0        208 w 1 
001  208      Mangelschots, Peter               2070           34525             0.0        207 b 0 
001  209      Verhasselt, Karsten               2003           11343             0.0        210 w 0 
001  210      De Vogelaere, Robin               2108           40461             1.0        209 b 1 
001  211      Vandendriessche, Jan              2093           20141             0.5        212 w = 
001  212      Keustermans, Helmut               1951           57304             0.5        211 b = 
001  213      Vercammen, Robert                 1955           52469             0.0        214 w 0 
001  214      Nemegeer, Arne                    2102           14068             1.0        213 b 1 
001  215      Vantorre, Nils                    2060           16911             0.0        216 w 0 
001  216      Kryvolapova, Olena                1941           25157             1.0        215 b 1 
001  217      Deweerdt, Jan                     1952           13315             0.0        218 w 0 
001  218      Meysman, Kaito                    1836           16017             1.0        217 b 1 
001  219      Robert, Pierre                    2050           92479             0.0        220 w 0 
001  220      Ruzhansky, Elias                  2230           21132             1.0        219 b 1 
001  221      Van Volsem, Merlijn               2208           17843             1.0        222 w 1 
001  222      Hoffmann, Max                     2090           12277             0.0        221 b 0 
001  223      Thiteca, Thierry                  2069           25186             0.5        224 w = 
001  224      Victor, Julian                    2176           16868             0.5        223 b = 
001  225      Vanduyfhuys, Daria                2093           14495             1.0        226 w 1 
001  226      Janssen, Coen                     2200           21220             0.0        225 b 0 
001  227      Vos, Rik                          2026           17420             0.0        228 w 0 
001  228      De Reese, Elias                   2001           15179             1.0        227 b 1 
001  229      Vanduyfhuys, Igor                 2022           14603             1.0        230 w 1 
001  230      Reghabi Gholami, Jahangir         1771           14805             0.0        229 b 0 
001  231      Baeten, Wim                       1611           23609             0.0        232 w 0 
001  232      Zouaghi, Amir                     2023           14606             1.0        231 b 1 
001  233      Devolder, Dieter                  1988           27961             1.0        234 w 1 
001  234      Boshra, Sosanna                   1394           16981             0.0        233 b 0 
001  235      Van Cappellen, Jonas              2205            1988             1.0        236 w 1 
001  236      Raats, Joppe                      2134           12445             0.0        235 b 0 
001  237      Allaert, Dimitri                  2183           16951             0.5        238 w = 
001  238      Goossens, Hanne                   2165           50075             0.5        237 b = 
001  239      De Block, Yordi                   2095           11030             0.0        240 w 0 
001  240      Goddé, Matthias                   2058           14108             1.0        239 b 1 
001  241      Gooris, Jan                       2083           36323             0.0        242 w 0 
001  242      Rogiers, Jan                      2135           48569             1.0        241 b 1 
001  243      Versyck, Dominique                2060           26972             0.0        244 w 0 
001  244      Decoster, Sam                     2046           29424             1.0        243 b 1 
001  245      Cuyvers, Jens                     1861           20065             0.5        246 w = 
001  246      Van De Perre, Tom                 2048            1929             0.5        245 b = 
001  247      De Block, Fabio                   2037           11034             1.0        248 w 1 
001  248      Jonckers, Marie-Jeanne            1388            5703             0.0        247 b 0 
001  249      Adriaensens, Robin                   0           13159             0.0        250 w 0 
001  250      Van Peer, Cedric                  1989           51578             1.0        249 b 1 
001  251      Rihouay, Clément                  2238           12255             1.0        252 w 1 
001  252      Wemmers, Xander                   2353           18066             0.0        251 b 0 
001  253      Ismail, Tamer                     2124           12899             0.5        254 w = 
001  254      Faybish, Nimrod                   2151           79197             0.5        253 b = 
001  255      De Wit, Michel                    2124            1686             1.0        256 w 1 
001  256      Terryn, Ezra                      2201           52027             0.0        255 b 0 
001  257      Pieters, Frederik                 2033           22632             1.0        258 w 1 
001  258      Spaan, Nathanael                  2089           12278             0.0        257 b 0 
001  259      Ackaert, Thierry                  2065            5690             0.0        260 w 0 
001  260      Titus, Branco                     1981           26499             1.0        259 b 1 
001  261      Provinciael, Ernest               1902             884             0.0        262 w 0 
001  262      Perrin, Antoine                   2007           25061             1.0        261 b 1 
001  263      Draidi, Ahmed                     2002           67032             1.0        264 w 1 
001  264      D'Haluin, Wim                     1685           36684             0.0        263 b 0 
001  265      Visser, Wouter                    1620           23330             0.0        266 w 0 
001  266      Micciche, Ruben                   1800           14274             1.0        265 b 1 
001  267      Rogge, Parcival                   2219           14279             0.5        268 w = 
001  268      Peeren, Yen                       2110           22764             0.5        267 b = 
001  269      Cocquyt, Tijs                     2037           30805             0.0        270 w 0 
001  270      Van Eetvelde, Ward                2165           31160             1.0        269 b 1 
001  271      Boudry, William                   2083           10816             1.0        272 w 1 
001  272      Zotikishvili, Dimitri             2017           16319             0.0        271 b 0 
001  273      Marchand, Werner                  1975           87513             0.0        274 w 0 
001  274      De Rycke, Tyani                   2002           14625             1.0        273 b 1 
001  275      Verhelst, Joris                   2070           33570             1.0        276 w 1 
001  276      Verstraete, Michael               1955           11868             0.0        275 b 0 
001  277      Pincket, Michael                  1894           12831             0.0        278 w 0 
001  278      De Bock, Lennart                  2057           38253             1.0        277 b 1 
001  279      Decruyenaere, Robbert             1980           10967             1.0        280 w 1 
001  280      Pincket, Thomas                   1853            8001             0.0        279 b 0 
001  281      Vanmassenhove, Frederik           1835           20516             0.0        282 w 0 
001  282      Musabayeva, Diana                 1970           16881             1.0        281 b 1 
001  283      Stuer, Marc                       2065           41084             0.5        284 w = 
001  284      Kalle, Erwin                      1979           12885             0.5        283 b = 
001  285      De Smedt, Mark                    1951           28240             0.0        286 w 0 
001  286      Boons, Patrick                    1987           28533             1.0        285 b 1 
001  287      Verschoren, Bram                  1968           11894             0.5        288 w = 
001  288      Van Der Graaf - Osinga, Angelique 1927           12370             0.5        287 b = 
001  289      De Hert, Oliver                   1909           51195             1.0        290 w 1 
001  290      Paesschesoone, Stefan             1867           47414             0.0        289 b 0 
001  291      Verbruggen, Peter                 1671           10207             0.0        292 w 0 
001  292      Beukema, Constantijn              1905           12522             1.0        291 b 1 
001  293      Van Der Graaf, André              1868           14341             1.0        294 w 1 
001  294      Witters, Michael                  1425           15003             0.0        293 b 0 
001  295      T'Sas, Jan                        2022           26603             0.0        296 w 0 
001  296      Krygelmans, Johan                 2062           20745             1.0        295 b 1 
001  297      Versporten, Wim                   1963           80985             1.0        298 w 1 
001  298      Hautekiet, Dries                  2032           39462             0.0        297 b 0 
001  299      Van Der Stappen, Michel           2057            7790             0.5        300 w = 
001  300      Mauquoy, Alain                    1941           35491             0.5        299 b = 
001  301      Van Hoecke, Luc                   1973           35564             0.5        302 w = 
001  302      Verhulst, Nikolaas                2012           57169             0.5        301 b = 
001  303      Van Tichelen, Bart                1996           49051             0.5        304 w = 
001  304      Roels, Frederik                   1824           22659             0.5        303 b = 
001  305      De Graef, Marc                    1763           12998             0.5        306 w = 
001  306      Schuurbiers, Wouter               1873           11550             0.5        305 b = 
001  307      Ongena, Niels                     2024           45357             0.5        308 w = 
001  308      Schrevens, Birger                 2153           10421             0.5        307 b = 
001  309      Van Ael, Bert                     1937           22471             0.5        310 w = 
001  310      Verbeeren, Peter                  1902           26611             0.5        309 b = 
001  311      Van Der Stricht, Jan              1881           33014             1.0        312 w 1 
001  312      Van Aken, Koen                    1922           10561             0.0        311 b 0 
001  313      Schurins, Thomas                  1845           93637             1.0        314 w 1 
001  314      Elsen, Tijs                       1720           34631             0.0        313 b 0 
001  315      Vaerendonck, Jesse                   0           26795             1.0        316 w 1 
001  316      Van Den Boeck, Wim                1852           43613             0.0        315 b 0 
001  317      De Bouver, Guido                  1767            9342             1.0        318 w 1 
001  318      Guven, Furkan                        0           24656             0.0        317 b 0 
001  319      Van Kessel, Wessel                2154           10785             0.5        320 w = 
001  320      Lee, Deon                         2134           10397             0.5        319 b = 
001  321      Barbier, Wiebke                   1947           43516             1.0        322 w 1 
001  322      Schenning, Albert                 2017           11483             0.0        321 b 0 
001  323      Jashchenko, Vladimir              2011           24548             1.0        324 w 1 
001  324      Cliteur, Olaf                     1926           29912             0.0        323 b 0 
001  325      Pelgrims, Jan                     1917           32212             0.5        326 w = 
001  326      Geboers, Jimmy                    1848           22721             0.5        325 b = 
001  327      Polat, Yasin                      1582           13706             0.0        328 w 0 
001  328      Vranckx, Jonas                    1866           16085             1.0        327 b 1 
001  329      Melaerts, Vincent                    0           26591             1.0        330 w 1 
001  330      Ooms, Bram                        1393           13290             0.0        329 b 0 
001  331      Dijckmans, Bjorn                  2174           12467             0.5        332 w = 
001  332      Samulevicius, Tomas               2331           14807             0.5        331 b = 
001  333      Dijkstra, Bart                    2091           52507             0.5        334 w = 
001  334      Kegels, Pascal                    2085           45284             0.5        333 b = 
001  335      Caluwe, Marc                      2059           79324             0.5        336 w = 
001  336      Baekelant, Ronny                  2086            6602             0.5        335 b = 
001  337      Lavrenov, Yuli                    2033           37796             1.0        338 w 1 
001  338      Segers, Vic                       2035           28401             0.0        337 b 0 
001  339      De Jonghe, Peter                  1990            7404             0.0        340 w 0 
001  340      Logie, Dimitri                    2016           20818             1.0        339 b 1 
001  341      Engelen, Joseph                   2019            3131             1.0        342 w 1 
001  342      Blommaert, Robin                  1746           48984             0.0        341 b 0 
001  343      De Blende, Nando                  2018           11064             0.5        344 w = 
001  344      De Vos, Nils                      2275           56740             0.5        343 b = 
001  345      Schroer, Marcel                   2121           13488             1.0        346 w 1 
001  346      Buydts, Dirk                      2045           34312             0.0        345 b 0 
001  347      Vereeken, Franky                  1935           36579             0.5        348 w = 
001  348      De Weerd, Jan                     2056           21814             0.5        347 b = 
001  349      Ercan, Selman                     2033           27200             0.5        350 w = 
001  350      Boodts, Jeroen                    1920            8834             0.5        349 b = 
001  351      Londers, Jan                      1777           41904             0.5        352 w = 
001  352      Surmont, Yves                     1875           14273             0.5        351 b = 
001  353      Leyssens, Bas                     1816           50069             0.0        354 w 0 
001  354      Veldeman, Sieben                  1773           21436             1.0        353 b 1 
001  355      Mueller, Martin                   2090           50293             0.5        356 w = 
001  356      Beukenhorst, Edo                  1989           99758             0.5        355 b = 
001  357      Sneppe, Herman                    1894           90751             0.0        358 w 0 
001  358      Frederiksen, Kristian Pade        1803           60007             1.0        357 b 1 
001  359      Lintner, Felix                    1737           26975             0.5        360 w = 
001  360      Hock, Diego                       1828           83089             0.5        359 b = 
001  361      De True, Toon                     1819           17817             0.5        362 w = 
001  362      Moreno, David                     1737           13350             0.5        361 b = 
001  363      Serrano Samper, Sergio            1672           50146             0.0        364 w 0 
001  364      Courteyn, Patrick                 1910           42161             1.0        363 b 1 
001  365      Flamee, Dirk                      1605           19135             0.0        366 w 0 
001  366      Gentchev, Galin                   1572           21355             1.0        365 b 1 
001  367      Marlier, Gaetan                   2066           84841             0.5        368 w = 
001  368      Vandenhole, Kobe                  1996           20531             0.5        367 b = 
001  369      Roelandt, Andreas                 1982           11023             0.5        370 w = 
001  370      Maalla, Abdessadek                2085           14400             0.5        369 b = 
001  371      Marchal, Laurent                  1918           60517             1.0        372 w 1 
001  372      Willockx, Ritsaart                1933           32913             0.0        371 b 0 
001  373      De Smet, Frans                    1675           34011             1.0        374 w 1 
001  374      Franc, Emmanuel                   2021           93084             0.0        373 b 0 
001  375      Delbergue, Mossab                 1931           20700             0.0        376 w 0 
001  376      Clabost, Sam                      1686           25645             1.0        375 b 1 
001  377      Baetens, Christophe               1322           24910             0.0        378 w 0 
001  378      Godart, Dorian                    1881           13445             1.0        377 b 1 
001  379      Czuczai, Jeno                     1945           60319             0.5        380 w = 
001  380      Van Uytven, Eric                  2074           60861             0.5        379 b = 
001  381      Lacroix, Bruno                    2120           97721             0.5        382 w = 
001  382      Watelet, Sylvain                  1878           69892             0.5        381 b = 
001  383      Haak, Tillmann                    1876           50117             0.0        384 w 0 
001  384      Callier, Christophe               1964           66681             1.0        383 b 1 
001  385      Jayes, Thomas William             1940           12767             1.0        386 w 1 
001  386      Pleysier, Simon                   1947           14768             0.0        385 b 0 
001  387      Boshra, Abanoub                   1836           16554             1.0        388 w 1 
001  388      Khanalizadeh, Ahmad               1858           25386             0.0        387 b 0 
001  389      Canneel, Daniel                   1836           50113             0.5        390 w = 
001  390      Devenney, Martin                  1808           25362             0.5        389 b = 
001  391      Henris, Luc                       2160           59625             1.0        392 w 1 
001  392      Vanderwaeren, Serge               2071           20621             0.0        391 b 0 
001  393      Van Hoofstat, Tom                 2067           42706             0.5        394 w = 
001  394      Duhayon, Yves                     2153           31267             0.5        393 b = 
001  395      Luminet, Denis                    2135            9245             0.5        396 w = 
001  396      Verrijken, Geert                  1990           62766             0.5        395 b = 
001  397      Lot, Diederik                     1972            9954             0.0        398 w 0 
001  398      Kerkhof, Philippe                 2193           35271             1.0        397 b 1 
001  399      Laurent, Michel                   2047           45110             1.0        400 w 1 
001  400      Denys, Frank                      1914           21881             0.0        399 b 0 
001  401      Malfliet, Bernard                 1754           31348             0.0        402 w 0 
001  402      Andreoli, Giorgio                 2010           27217             1.0        401 b 1 
001  403      Gregoir, Christophe               2255           34380             1.0        404 w 1 
001  404      Van Horenbeke, Jean               2001           96259             0.0        403 b 0 
001  405      Ahmetaj, Rasim                    1938           75558             0.5        406 w = 
001  406      Hugaert, Arthur                   2168           17183             0.5        405 b = 
001  407      Windels, Jan                      2006           36897             0.5        408 w = 
001  408      Grodent, Gérald                   1857           40924             0.5        407 b = 
001  409      Macai, Ioan                       1749           92312             0.0        410 w 0 
001  410      Regniers, Yves                    1974           31755             1.0        409 b 1 
001  411      Vreugdenhil, Frans                1838           23366             1.0        412 w 1 
001  412      Dumoulin, Michel                  1627           16456             0.0        411 b 0 
001  413      De Smet, Karl                     1399           15261             0.5        414 w = 
001  414      Debuck, Valere                    1884           35394             0.5        413 b = 
001  415      Maltier, Benjamin                 2053           17296             0.0        416 w 0 
001  416      Cekro, Ekrem                      2370           75655             1.0        415 b 1 
001  417      Le Quang, Kim                     2285           70653             1.0        418 w 1 
001  418      Godry, Adelin                     1997           12806             0.0        417 b 0 
001  419      Denivet, Axel                     1849           82376             0.5        420 w = 
001  420      Lipman, Peter                     2021           95702             0.5        419 b = 
001  421      Aguilar, Luciano                  1904           15631             1.0        422 w 1 
001  422      Vertenoeil, Tom                   1766           16714             0.0        421 b 0 
001  423      Pegoretti, Franco                 1835           57959             0.0        424 w 0 
001  424      Aguilar, Adriano                  1848           15626             1.0        423 b 1 
001  425      Toledo, Hillel                    1760           22648             0.5        426 w = 
